Name,Profile URL,Signal,Location,Market,Website,Employees,Stage,Total Raised,Joining_Month,Joining_Year,latitude,longitude,date_today,Age,Country
Crowdbooster,https://angel.co/company/crowdbooster,5,San Francisco,Public Relations,http://www.crowdbooster.com/,1-10,Seed,,Nov ,01/01/2010,37.7792808,-122.4192363,03/01/2021,11,United States of America
Samba TV,https://angel.co/company/samba-tv,5,San Francisco,Big Data,http://www.samba.tv,201-500,Series A,8000000,Dec ,01/01/2010,37.7792808,-122.4192363,03/01/2021,11,United States of America
Charity Engine,https://angel.co/company/charity-engine,5,Boston,Big Data Analytics,http://www.charityengine.com,1-10,,312000,Oct ,01/01/2010,42.3602534,-71.0582912,03/01/2021,11,United States of America
Vufind (DBA DeepVu),https://angel.co/company/vufind-1,5,Berkeley,Enterprise Resource Planning,http://deepvu.co,11-50,,,Jul ,01/01/2010,37.8708393,-122.2728639,03/01/2021,11,United States of America
Clearfit,https://angel.co/company/clearfit,5,Toronto,Human Resources,http://clearfit.com,11-50,Series A,8700000,Sep ,01/01/2011,43.653963,-79.387207,03/01/2021,10,Canada
Kimera Systems,https://angel.co/company/kimera-systems,3,Portland,Internet of Things,http://www.kimerasystems.com,1-10,,100000,Dec ,01/01/2011,45.5202471,-122.6741949,03/01/2021,10,United States of America
Tala ,https://angel.co/company/talamobile,5,Nairobi,Personal Finance,http://tala.co,201-500,Series C,107400000,Sep ,01/01/2011,-1.2832533,36.8172449,03/01/2021,10,Kenya
Pick1,https://angel.co/company/pick1,5,Rome,Market Research,http://www.pick1.com,11-50,Acquired,1650000,Feb ,01/01/2011,41.894802,12.4853384,03/01/2021,10,Italy
Desti,https://angel.co/company/desti,5,Palo Alto,Mobile Commerce,http://desti.com,1-10,Acquired,3550000,Oct ,01/01/2011,37.4443293,-122.1598465,03/01/2021,10,United States of America
Converge,https://angel.co/company/perfectpost,5,Atlanta,Marketing,http://ConvergeHQ.com,1-10,Seed,350000,Feb ,01/01/2011,33.7490987,-84.3901849,03/01/2021,10,United States of America
Scalable Informatics,https://angel.co/company/scalable-informatics,3,Ann Arbor,Big Data,http://scalableinformatics.com,11-50,Seed,,May ,01/01/2011,40.7127281,-74.0060152,03/01/2021,10,United States of America
Mendeley,https://angel.co/company/mendeley,5,London,Application Platforms,http://www.mendeley.com,51-200,Acquired,2125000,Mar ,01/01/2011,51.5073219,-0.1276474,03/01/2021,10,England
Seevibes,https://angel.co/company/seevibes,5,Paris,Advertising Platforms,http://seevibes.com,11-50,Acquired,960000,Apr ,01/01/2011,48.8566101,2.3514992,03/01/2021,10,France
