permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/-fame,#fame,http://livfame.com,Media,10000000,operating,IND,16,Mumbai,Mumbai,1,,2015-01-05,2015-01-05
/organization/-qounter,:Qounter,http://www.qounter.com,Application Platforms|Real Time|Social Network Media,700000,operating,USA,DE,DE - Other,Delaware City,2,2014-09-04,2014-03-01,2014-10-14
/organization/-the-one-of-them-inc-,"(THE) ONE of THEM,Inc.",http://oneofthem.jp,Apps|Games|Mobile,3406878,operating,,,,,1,,2014-01-30,2014-01-30
/organization/0-6-com,0-6.com,http://www.0-6.com,Curated Web,2000000,operating,CHN,22,Beijing,Beijing,1,2007-01-01,2008-03-19,2008-03-19
/organization/004-technologies,004 Technologies,http://004gmbh.de/en/004-interact,Software,-,operating,USA,IL,"Springfield, Illinois",Champaign,1,2010-01-01,2014-07-24,2014-07-24
/organization/01games-technology,01Games Technology,http://www.01games.hk/,Games,41250,operating,HKG,,Hong Kong,Hong Kong,1,,2014-07-01,2014-07-01
/organization/0ndine-biomedical-inc,Ondine Biomedical Inc.,http://ondinebio.com,Biotechnology,762851,operating,CAN,BC,Vancouver,Vancouver,2,1997-01-01,2009-09-11,2009-12-21
/organization/0xdata,H2O.ai,http://h2o.ai/,Analytics,33600000,operating,USA,CA,SF Bay Area,Mountain View,4,2011-01-01,2013-01-03,2015-11-09
/organization/1,One Inc.,http://whatis1.com,Mobile,1150050,operating,USA,CA,SF Bay Area,San Francisco,3,2011-08-01,2011-07-20,2014-02-05
/organization/1-2-3-listo,"1,2,3 Listo",http://www.123listo.com,E-Commerce,40000,operating,CHL,12,Santiago,Las Condes,1,2012-01-01,2013-02-18,2013-02-18
/organization/1-4-all,1-4 All,,Entertainment|Games|Software,-,operating,USA,NC,NC - Other,Connellys Springs,1,,2013-04-21,2013-04-21
/organization/1-618-technology,1.618 Technology,http://www.Homeandcondogallery.com,Networking|Real Estate|Web Hosting,-,operating,USA,FL,Orlando,Orlando,1,2013-12-07,2014-01-22,2014-01-22
/organization/1-800-dentist,1-800-DENTIST,http://www.1800dentist.com,Health and Wellness,-,operating,USA,CA,Los Angeles,Los Angeles,1,1986-01-01,2010-08-19,2010-08-19
/organization/1-800-doctors,1-800-DOCTORS,http://1800doctors.com,Health and Wellness,1750000,operating,USA,NJ,Newark,Iselin,1,1984-01-01,2011-03-02,2011-03-02
/organization/1-800-publicrelations-inc-,"1-800-PublicRelations, Inc.",http://www.1800publicrelations.com,Internet Marketing|Media|Public Relations,6000000,operating,USA,NY,New York City,New York,1,2013-10-24,2015-02-01,2015-02-01
/organization/1-mainstream,1 Mainstream,http://www.1mainstream.com,Apps|Cable|Distribution|Software,5000000,acquired,USA,CA,SF Bay Area,Cupertino,1,2012-03-01,2015-03-17,2015-03-17
/organization/1-of-99,1 of 99,,Entertainment|Games,100000,operating,USA,CA,SF Bay Area,Mountain View,1,2014-12-01,2014-12-13,2014-12-13
/organization/10-20-media,10-20 Media,http://www.10-20media.com,E-Commerce,2050000,operating,USA,MD,Baltimore,Woodbine,4,2001-01-01,2009-06-18,2011-12-28
/organization/10-minutes-with,10 Minutes With,http://10minuteswith.com,Education,4400000,operating,GBR,H9,London,London,2,2013-01-01,2013-01-01,2014-10-09
/organization/1000-corks,1000 Corks,http://1000corks.com,Search,40000,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,2008-01-01,2011-08-23,2011-08-23
/organization/1000-markets,1000 Markets,http://www.1000markets.com,Art|E-Commerce|Marketplaces,500000,acquired,USA,WA,Seattle,Seattle,1,2009-01-01,2009-05-15,2009-05-15
/organization/1000chi,Beijing 1000CHI Software Technology,http://www.1000chi.com/,Mobile,43923865,operating,,,,,1,2008-01-01,2010-04-01,2010-04-01
/organization/1000lookz,1000Lookz,http://1000lookz.com,Beauty,-,operating,IND,25,Chennai,Chennai,1,2008-01-01,2013-07-22,2013-07-22
/organization/1000memories,1000memories,http://1000memories.com,Curated Web,2535000,acquired,USA,CA,SF Bay Area,San Francisco,2,2010-07-01,2010-01-01,2011-02-16
/organization/1000museums-com,1000museums.com,http://www.1000museums.com,Curated Web,6795451,operating,USA,MA,MA - Other,Lenox,9,2008-01-01,2009-10-14,2015-11-13
/organization/1001-menus,ZenChef,http://zenchef.com/en/,Local Businesses|Restaurants,10661772.8991108,operating,FRA,A8,Paris,Paris,5,2010-11-20,2012-12-15,2015-11-04
/organization/1001pharmacies-com,1001pharmacies.com,http://www.1001pharmacies.com/,Cosmetics|Marketplaces,8900000,operating,FRA,A9,Montpellier,Montpellier,1,2012-01-01,2015-07-09,2015-07-09
/organization/1006-tv,1006.tv,http://www.1006.tv/,Games|Media,10000000,operating,CHN,22,Beijing,Beijing,3,2009-01-01,2011-01-01,2014-07-31
/organization/100du-tv,100du.tv,http://www.100du.com,Hospitality,3000000,operating,CHN,23,Shanghai,Shanghai,2,,2008-01-07,2010-08-13
