,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
0,1,3/10/2017,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,N/A
1,2,3/10/2017,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,N/A
2,3,3/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,"110,000,000"
3,4,4/10/2017,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Funding,N/A
4,5,4/10/2017,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,"306,000"
5,6,4/10/2017,PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,"38,700,000"
6,7,5/10/2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"1,000,000"
7,8,5/10/2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,"450,000"
8,9,5/10/2017,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"9,200,000"
9,10,6/10/2017,Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,"3,100,000"
10,11,6/10/2017,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"8,000,000"
11,12,6/10/2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,"10,000,000"
12,13,6/10/2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,"2,000,000"
13,14,9/10/2017,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,N/A
14,15,9/10/2017,MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,"2,700,000"
15,16,9/10/2017,IBSFintech,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Funding,N/A
16,17,9/10/2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,N/A
17,18,9/10/2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,"336,000"
18,19,9/10/2017,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,N/A
19,20,10/10/2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,"1,400,000"
20,21,10/10/2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,"4,500,000"
21,22,11/10/2017,Meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,"3,100,000"
22,23,11/10/2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,"1,100,000"
23,24,12/10/2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,"235,000"
24,25,13/10/2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,"77,000,000"
25,26,13/10/2017,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,"250,000"
26,27,13/10/2017,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,"2,000,000"
27,28,16/10/2017,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,"8,000,000"
28,29,16/10/2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,"9,200,000"
29,30,17/10/2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,"7,000,000"
30,31,18/10/2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,"7,000,000"
31,32,18/10/2017,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,N/A
32,33,18/10/2017,BlackBuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,"7,700,000"
33,34,18/10/2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,"500,000"
34,35,23/10/2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,"7,000,000"
35,36,23/10/2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,"6,000,000"
36,37,23/10/2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,"3,100,000"
37,38,23/10/2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,"118,000"
38,39,24/10/2017,TagBox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,N/A
39,40,24/10/2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,"500,000"
40,41,24/10/2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"3,000,000"
41,42,24/10/2017,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,"722,000"
42,43,24/10/2017,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,N/A
43,44,25/10/2017,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,N/A
44,45,25/10/2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"550,000"
45,46,26/10/2017,Big Basket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,"5,000,000"
46,47,27/10/2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,"3,800,000"
47,48,27/10/2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,N/A
48,49,28/10/2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,"120,000"
49,50,28/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,"7,700,000"
50,51,30/10/2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,"2,000,000"
51,52,31/10/2017,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"14,000,000"
52,53,31/10/2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"32,000,000"
53,1,02/03/2015,TrulyMadly.com,"Helion Venture Partners, Kae Capital",Private Equity,"5,500,000",Series A,,
54,2,02/03/2015,InstaLively,Group of Angel Investors,Seed Funding,"120,000",,,
55,3,03/03/2015,Vserv,"Maverick Capital, IDG Ventures India",Private Equity,"15,000,000",,,
56,4,03/03/2015,Intruo.com,"Ashutosh Lawania, Alok Goel & others",Seed Funding,N/A,,,
57,5,05/03/2015,Niffler,SAIF Partners,Seed Funding,"1,000,000",,,
58,6,05/03/2015,CustomFurnish.com,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,"2,500,000",,,
59,7,06/03/2015,MapMyGenome,Rajan Anandan & other angel investors,Private Equity,"1,200,000",,,
60,8,09/03/2015,Crowdfire (formerly Justunfollow),Kalaari Capital,Private Equity,"2,500,000",,,
61,9,09/03/2015,Bite Club,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,"500,000",,,
62,10,10/03/2015,Localbanya,Shrem Strategies,Private Equity,N/A,Series B,,
63,11,11/03/2015,Appedo,Undisclosed Investors,Seed Funding,"1,000,000",,,
64,12,11/03/2015,Fitraq.com,Tarun Arora,Seed Funding,"150,000",,,
65,13,11/03/2015,ChargeBee,"Tiger Global, Accel Partners",Private Equity,"5,000,000",Series B,,
66,14,11/03/2015,Groupon India,Sequoia Capital,Private Equity,"20,000,000",,,
67,15,12/03/2015,Process 9,"IAN Ventures, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, Ajai Chowdhry",Seed Funding,N/A,,,
68,16,12/03/2015,MoonFrog Labs,"Tiger Global, Sequoia Capital.",Private Equity,"15,000,000",Series A,,
69,17,13/03/2015,Foodpanda,Rocket Internet AG & others,Private Equity,"110,000,000",Series C,,
70,18,13/03/2015,Paytm,Ratan Tata,Private Equity,N/A,More details,,
71,19,13/03/2015,DiabetOmics,"VentureEast,  Varaprasad Reddy",Private Equity,"5,000,000",Series C,,
72,20,13/03/2015,Qyk,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",Seed Funding,N/A,,,
73,21,14/03/2015,Daily Rounds,"Kae Capital, GSF, Teruhide Sato",Seed Funding,"500,000",,,
74,22,14/03/2015,Orobind,"Zishaan Hayath, Lalit Mangal, Harpreet Singh Grover",Seed Funding,"200,000",,,
75,23,14/03/2015,Routofy,"Kunal Bahl, Rohit Bansal",Seed Funding,N/A,,,
76,24,16/03/2015,Digital Gorkha,Ramesh kavediya,Seed Funding,"166,000",,,
77,25,16/03/2015,NestAway,"IDG Ventures, Naveen Tewari",Seed Funding,"1,300,000",,,
78,26,16/03/2015,The Better India,I-cube-N,Seed Funding,"166,000",,,
79,27,16/03/2015,Meru Cabs,Value Fund Advisors,Private Equity,"50,000,000",,,
80,28,17/03/2015,GolfLAN,YourNest Angel Fund,Seed Funding,N/A,,,
81,29,18/03/2015,Drivestream,Wipro,Private Equity,"5,000,000",,,
82,30,18/03/2015,wWhere,Group of Angel Investors,Seed Funding,"200,000",,,
83,31,18/03/2015,GoJavas,Snapdeal,Private Equity,N/A,"Minority stake, Strategic",,
84,32,19/03/2015,Tripoto,"IDG Ventures, Outbox Ventures",Private Equity,"2,000,000",Pre-Series A,,
85,33,19/03/2015,Graphic India,"CA Media LP,  Start Media.",Seed Funding,"2,800,000",,,
86,34,20/03/2015,Harness Handitouch,Armat Group,Private Equity,N/A,Series A,,
87,35,20/03/2015,Lets Corp,Wu Chay Chin,Seed Funding,"3,000,000",,,
88,36,20/03/2015,CollateBox,LetsVenture,Seed Funding,"180,000",,,
89,37,20/03/2015,Mahindra First Choice,Valiant Capital,Private Equity,"15,000,000",Series B,,
90,38,21/03/2015,Round One,"HT Media, Arun Duggal",Seed Funding,N/A,,,
91,39,23/03/2015,RazorPay,Y Combinator,Seed Funding,"120,000",,,
92,40,23/03/2015,Mosambee,RVCF and SIDBI,Private Equity,N/A,Series B,,
93,41,24/03/2015,Furlenco,LightBox Ventures,Private Equity,"6,000,000",Series A,,
94,42,24/03/2015,Cubito,Sol Primero,Seed Funding,"160,000",,,
95,43,25/03/2015,Teabox,"JAFCO Asia, Keystone Group, Dragoneer Investment, Accel Partners",Private Equity,"6,000,000",Series A,,
96,44,25/03/2015,Artoo,"Accion Venture Labs, Rianta Capital",Private Equity,"500,000",Series A,,
97,45,25/03/2015,Fxkart.com,"Dr Mushtaq Shah, Dr Faraz Naqvi",Seed Funding,"2,000,000",,,
98,46,25/03/2015,Rozgar Mela,"Impact Investment Holding, Upaya Social Ventures",Seed Funding,N/A,,,
99,47,25/03/2015,OYO Rooms,"Greenoaks capital, Sequoia Capital, LightSpeed Ventures",Private Equity,"25,000,000",Series A,,
100,48,26/03/2015,Roposo.com,"Tiger Global Management, Indian Quotient, Binny Bansal",Private Equity,"5,000,000",Series A,,
101,49,26/03/2015,Teewe,"Sequoia Capital, India Quotient",Seed Funding,"1,750,000",,,
102,50,26/03/2015,ePoise,Undisclosed,Seed Funding,N/A,,,
103,51,27/03/2015,Urjas,Solidarity Venture Capital & others,Seed Funding,"100,000",,,
104,52,27/03/2015,Chargein,Pittie Group,Seed Funding,"100,000",,,
105,53,28/03/2015,Yogurt Labs,"Nick Adams, Kiran Bhat, Family Pot Investments LLP",Seed Funding,"115,000",,,
106,54,28/03/2015,LimeRoad.com,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",Private Equity,"30,000,000",,,
107,55,28/03/2015,Team Indus,"Nandan Nilekani, Rajiv Mody, Ajai Chowdhary",Private Equity,"1,500,000",Pre-Series A,,
108,56,30/03/2015,Arohan Financial Services,Tano Capital,Private Equity,"10,000,000",,,
109,57,30/03/2015,BillDesk,TA Associates,Private Equity,"75,000,000",Incremental Capital,,
110,58,31/03/2015,Triphobo,"Mayfield Ventures, Kalaari Capital",Private Equity,"3,000,000",Series B (More Here),,
111,59,31/03/2015,Aryaka,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",Private Equity,"16,000,000",Series D,,
112,60,31/03/2015,Appsdaily,"Zodius Capital, Ru-Net, Kalaari Capital,  Qualcomm Ventures",Private Equity,"16,000,000",Series C,,
113,,,,,,,,,
114,1,01/06/2015,Vyomo,Beauty and Wellness Platform,New Delhi,Aprameya Radhakrishna,Seed Funding,N/A,
115,2,01/06/2015,Veeba Foods,Healthy Food Manufacturer,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,"6,000,000",Series B
116,3,01/06/2015,Truebil,Used Car Marketplace,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"500,000",
117,4,01/06/2015,Meritnation,Online Learning Platform,New Delhi,InfoEdge,Private Equity,"4,000,000",Series C
118,5,01/06/2015,Eattreatonline,Healthy Food Online Community,New Delhi,Group of 15 Angel Investors,Seed Funding,"350,000",
119,6,01/06/2015,CredR,Used two-wheeler Marketplace,Mumbai,GrowthStory,Seed Funding,N/A,
120,7,01/06/2015,Glamrs,Online Fashion Video Portal,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,"1,000,000",Pre-Series A
121,8,01/06/2015,Proviera,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,"550,000",
122,9,01/06/2015,Arth DesignBuild,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,"500,000",
123,10,02/06/2015,Saama,Big Data & Analytics Services,Pune / US,Carrick Capital Partners,Private Equity,"35,000,000",Series A
124,11,02/06/2015,AllIzHealth,Preventive Healthcare Services,Pune,Mumbai Angels & Other angel investors,Seed Funding,"350,000",
125,12,02/06/2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,Udaipur,Ennovent Impact Investment Holding,Private Equity,N/A,Series A
126,13,03/06/2015,Entropy Innovations,Engineering Innovations,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,N/A,
127,14,03/06/2015,Propstack,Real Estate Intelligence Platform,Mumbai,DMG Information,Private Equity,"3,000,000",Series A
128,15,03/06/2015,MyTaxiIndia,Online Car Rental Affiliates,New Delhi,Green House Ventures,Seed Funding,"100,000",
129,16,03/06/2015,Arkin Net,Data Center Software platform,Pune / US,Nexus Venture Partners,Private Equity,"15,000,000",Series B
130,17,03/06/2015,Little Black Book Delhi,Online City & Lifestyle Guide,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"150,000",
131,18,03/06/2015,MyPoolin,P2P Payments platform,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,  Arjun Malhotra, Gautam Gandhi",Seed Funding,N/A,
132,19,03/06/2015,iCustomadeit,Bespoke Merchandize Marketplace,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,"250,000",
133,20,03/06/2015,KAARYAH,Women Lifestyle Marketplace,Gurgaon,Ratan Tata,Seed Funding,N/A,
134,21,04/06/2015,Ecom Express,Logistics Solution Provider,New Delhi,Warburg Pincus,Private Equity,"137,000,000",Series C
135,22,04/06/2015,Vidooly,Video Intelligence Platform,Noida,Bessemer Venture Partners,Private Equity,"1,000,000",Pre-Series A
136,32,04/06/2015,Zopper,Hyperlocal Shopping App,Mumbai,"Tiger Global,  Nirvana Ventures Advisors",Private Equity,"20,000,000",Series C
137,24,04/06/2015,Flipkart,eCommerce platform,Bangalore,Morgan Stanley,Private Equity,"50,000,000",Late Stage
138,25,05/06/2015,kWatt Solutions,Renewable energy solutions,Mumbai,N/A,Seed Funding,"500,000",
139,26,05/06/2015,Medwell Ventures,"Healthcare
Service provider",Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,"10,000,000",Series A
140,27,05/06/2015,Jugnoo,Auto Rickshaw Based Services,Chandigarh,"Snow Leopard, Paytm",Private Equity,"5,000,000",Series A
141,28,08/06/2015,PosterGully,Artist / Designer Marketplace,New Delhi,"Natarajan Iyer,Rajesh Sawhney,  & other Angel investors.",Seed Funding,N/A,
142,29,08/06/2015,Applied Solar Technologies,Off-grid Solar Power,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,"40,000,000",Series B
143,30,09/06/2015,Clovia,Private Label lingerie Ecommerce,New Delhi,IvyCap Ventures,Private Equity,"5,000,000",Series A
144,31,09/06/2015,Swiggy,Online Food Ordering,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"16,500,000",Series B
145,32,09/06/2015,PayMango,Mobile Commerce Platform,Gurgaon,Group of Angel Investors,Seed Funding,"234,000",
146,33,09/06/2015,Printland,Online Printing Services,New Delhi,SIDBI Venture Capital Ltd,Private Equity,N/A,Series A
147,34,09/06/2015,Teritree,Digital Marketing Services,Bangalore,KCL,Seed Funding,"140,000",
