Start Date,End Date,Total Funding Amount(in USD),HF-Startup name,Highest Funding,Total Deals,Undisclosed Deals,Year
22-03-2020,28-03-2020,5700000,CoinDCX,3000000,8,3,2020
16-03-2020,21-03-2020,960000000,Oyo,807000000,16,1,2020
09-03-2020,14-03-2020,22000000,MultiLiving,6000000,10,2,2020
02-03-2020,07-03-2020,123000000,Spinny,43700000,16,3,2020
24-02-2020,29-02-2020,139000000,Rupeek,30000000,16,5,2020
17-02-2020,22-02-2020,394000000,Swiggy,113000000,20,2,2020
10-02-2020,15-02-2020,148000000,Pepperfry,40000000,20,4,2020
03-02-2020,08-02-2020,287000000,Byju's,200000000,14,2,2020
27-01-2020,01-02-2020,192000000,MoneyTap,70000000,15,2,2020
20-01-2020,25-01-2020,350000000,Bounce,105000000,18,5,2020
13-01-2020,18-01-2020,137000000,Zinier,90000000,18,8,2020
06-01-2020,11-01-2020,564000000,Byju's,200000000,22,7,2020
30-12-2019,04-01-2020,29000000,GoMechanic,14700000,7,1,2020
23-12-2019,28-12-2019,77000000,HomeLane,30000000,10,4,2019
16-12-2019,21-12-2019,381000000, Lenskart,231000000,23,5,2019
09-12-2019,14-12-2019,250000000,HappyEasyGo,49000000,27,4,2019
02-12-2019,07-12-2019,178000000,Cardekho,70000000,12,0,2019
25-11-2019,30-11-2019,1308000000,Paytm,1000000000,15,3,2019
18-11-2019,23-11-2019,146000000,Perfios,50000000,20,6,2019
11-11-2019,16-11-2019,30000000,SimSim,6000000,14,3,2019
04-11-2019,09-11-2019,205000000,Freshworks,150000000,17,3,2019
28-10-2019,02-11-2019,210000000,MX Player,111000000,11,2,2019
21-10-2019,26-10-2019,46000000,Ally,15000000,16,6,2019
14-10-2019,19-10-2019,278000000,Cars24,100000000,20,1,2019
07-10-2019,12-10-2019,62000000,Melorra,12000000,14,5,2019
30-09-2019,05-10-2019,500000000,Udaan,286000000,18,2,2019
23-09-2019,28-09-2019,138000000,Spinny,50000000,23,3,2019
16-09-2019,21-09-2019,248000000,PolicyBazaar,145000000,18,6,2019
09-09-2019,14-09-2019,243000000,Delhivery,115000000,16,8,2019
02-09-2019,07-09-2019,146000000,Cars24,52000000,16,2,2019
26-08-2019,31-08-2019,615000000,Udaan,300000000,15,1,2019
19-08-2019,24-08-2019,219000000,Mpower,100000000,15,3,2019
12-08-2019,17-08-2019,352000000,Meesho,125000000,18,4,2019
05-08-2019,10-08-2019,125000000,GoWork,53000000,11,3,2019
29-07-2019,03-08-2019,325000000,Rebel Foods,125000000,14,1,2019
22-07-2019,27-07-2019,209000000,Zeta,60000000,17,2,2019
15-07-2019,20-07-2019,148000000,Icertis,115000000,14,4,2019
08-07-2019,13-07-2019,340000000,Byju's,150000000,20,4,2019
01-07-2019,06-07-2019,340000000,Ola Electric,250000000,19,4,2019
24-06-2019,29-06-2019,302500000,Cure.Fit,120000000,19,3,2019
17-06-2019,22-06-2019,378770000,Druva,130000000,15,2,2019
10-06-2019,15-06-2019,60000000,Meesho,25000000,11,2,2019
03-06-2019,08-06-2019,111860000,NoBroker,51000000,14,3,2019
27-05-2019,01-06-2019,117740000,Ather Energy,51000000,15,2,2019
20-05-2019,25-05-2019,23370000,Spinny,13200000,7,2,2019
13-05-2019,18-05-2019,205390000,Grofers,200000000,9,3,2019
