Name,Profile URL,Signal,Location,Market,Website,Employees,Stage,Total Raised,Joining_Month,Joining_Year,latitude,longitude
Crowdbooster,https://angel.co/company/crowdbooster,5,San Francisco,Public Relations,http://www.crowdbooster.com/,1-10,Seed,,Nov ,2010,37.7792808,-122.4192363
Samba TV,https://angel.co/company/samba-tv,5,San Francisco,Big Data,http://www.samba.tv,201-500,Series A,8000000,Dec ,2010,37.7792808,-122.4192363
Charity Engine,https://angel.co/company/charity-engine,5,Boston,Big Data Analytics,http://www.charityengine.com,1-10,,312000,Oct ,2010,42.3602534,-71.0582912
Vufind (DBA DeepVu),https://angel.co/company/vufind-1,5,Berkeley,Enterprise Resource Planning,http://deepvu.co,11-50,,,Jul ,2010,37.8708393,-122.2728639
Clearfit,https://angel.co/company/clearfit,5,Toronto,Human Resources,http://clearfit.com,11-50,Series A,8700000,Sep ,2011,43.653963,-79.387207
Kimera Systems,https://angel.co/company/kimera-systems,3,Portland,Internet of Things,http://www.kimerasystems.com,1-10,,100000,Dec ,2011,45.5202471,-122.6741949
Tala ,https://angel.co/company/talamobile,5,Nairobi,Personal Finance,http://tala.co,201-500,Series C,107400000,Sep ,2011,-1.2832533,36.8172449
Pick1,https://angel.co/company/pick1,5,Rome,Market Research,http://www.pick1.com,11-50,Acquired,1650000,Feb ,2011,41.894802,12.4853384
Desti,https://angel.co/company/desti,5,Palo Alto,Mobile Commerce,http://desti.com,1-10,Acquired,3550000,Oct ,2011,37.4443293,-122.1598465
Converge,https://angel.co/company/perfectpost,5,Atlanta,Marketing,http://ConvergeHQ.com,1-10,Seed,350000,Feb ,2011,33.7490987,-84.3901849
Scalable Informatics,https://angel.co/company/scalable-informatics,3,Ann Arbor,Big Data,http://scalableinformatics.com,11-50,Seed,,May ,2011,40.7127281,-74.0060152
Mendeley,https://angel.co/company/mendeley,5,London,Application Platforms,http://www.mendeley.com,51-200,Acquired,2125000,Mar ,2011,51.5073219,-0.1276474
Seevibes,https://angel.co/company/seevibes,5,Paris,Advertising Platforms,http://seevibes.com,11-50,Acquired,960000,Apr ,2011,48.8566101,2.3514992
Booly,https://angel.co/company/booly,4,United Kingdom,Retail Technology,http://boo.ly,,,,May ,2011,54.7023545,-3.2765753
Anetwork,https://angel.co/company/anetwork,3,Iran,Advertising Exchanges,https://anetwork.ir,11-50,Acquired,,Mar ,2011,32.9407495,52.9471344
Catch5,https://angel.co/company/catch5,4,Las Vegas,Fraud Detection,http://www.catch5.com,1-10,Acquired,,Jun ,2011,36.1662859,-115.149225
Kwelia,https://angel.co/company/kwelia,5,Austin,Optimization,http://www.kwelia.com,1-10,,150000,Dec ,2011,30.2711286,-97.7436995
In Loco Media,https://angel.co/company/in-loco-media,3,São Paulo,Mobile Advertising,http://www.inlocomedia.com/,11-50,Series A,,Dec ,2011,-23.5506507,-46.6333824
Vidado,https://angel.co/company/vidado,5,Oakland,Artificial Intelligence,http://vidado.ai,11-50,Series C,47400000,Feb ,2011,37.8044557,-122.2713563
AfterCollege,https://angel.co/company/aftercollege,5,San Francisco,College Recruiting,http://www.aftercollege.com/,11-50,Series A,,Mar ,2011,37.7792808,-122.4192363
angelcam,https://angel.co/company/angelcam,5,Las Vegas,Internet of Things,http://www.angelcam.com,11-50,,144600,May ,2012,36.1662859,-115.149225
Deeplink,https://angel.co/company/deeplink,5,New York City,Web Tools,http://www.deeplink.me,1-10,Seed,1350000,Jul ,2012,40.7127281,-74.0060152
WeDidIt ,https://angel.co/company/wedidit,5,New York City,Nonprofits,http://wedid.it,11-50,Seed,1600000,Jul ,2012,40.7127281,-74.0060152
Pigeonly,https://angel.co/company/pigeonly,5,Las Vegas,Photo Sharing,http://pigeon.ly/,1-10,Seed,1000000,Dec ,2012,36.1662859,-115.149225
Imagga,https://angel.co/company/imagga,4,Sofia,Visual Search,http://www.imagga.com,1-10,Seed,310000,Mar ,2012,42.6978634,23.3221789
After School,https://angel.co/company/afterschool,5,San Francisco,Location Based Services,http://afterschoolapp.com,51-200,Series A,17400000,Aug ,2012,37.7792808,-122.4192363
DotProduct,https://angel.co/company/dotproduct,4,Houston,Augmented Reality,http://www.DotProduct3D.com,1-10,Seed,,Nov ,2012,29.7589382,-95.3676974
Tipsi,https://angel.co/company/tipsi,5,New York City,Location Based Services,http://www.gettipsi.com,1-10,Seed,250000,Nov ,2012,40.7127281,-74.0060152
ROSTR,https://angel.co/company/rostr-2,4,Jacksonville,Technology,http://www.rostr.co,1-10,Seed,50000,Dec ,2012,30.3321838,-81.655651
Choozle,https://angel.co/company/choozle,5,Denver,Big Data,http://www.choozle.com,11-50,Series A,9892500,Jun ,2012,39.7392364,-104.9848623
Clear Guide Medical,https://angel.co/company/clear-guide-medical,4,Baltimore,Medical Devices,http://www.clearguidemedical.com,1-10,Series A,1500000,Aug ,2012,39.2908816,-76.610759
Modizy,https://angel.co/company/modizy,3,Paris,SaaS,http://www.modizy.com,1-10,,275000,May ,2012,48.8566101,2.3514992
Pulse Wall,https://angel.co/company/pulse-wall-1,3,Zagreb,Consumers,http://www.walloftweets.net,11-50,Seed,75000,May ,2012,45.813177,15.977048
Smartsy,https://angel.co/company/smartsy,5,San Francisco,Mobile Commerce,http://smartsy.co,1-10,Seed,400000,Aug ,2012,37.7792808,-122.4192363
SQream Technologies,https://angel.co/company/sqream-technologies,4,Israel,Databases,http://www.sqreamtech.com/,11-50,Series B,33400000,Feb ,2012,30.8760272,35.0015196
Graph Commons,https://angel.co/company/graph-commons,3,New York City,Data Visualization,https://graphcommons.com,1-10,,,Apr ,2012,40.7127281,-74.0060152
Hashdoc,https://angel.co/company/hashdoc,5,"Jordan, JO",Consulting,http://www.hashdoc.com,1-10,Seed,475000,Dec ,2012,31.1667049,36.941628
Tailwind,https://angel.co/company/tailwind,5,Oklahoma City,Social Media Platforms,http://tailwindapp.com,11-50,Seed,1000000,May ,2012,35.4729886,-97.5170536
Breezedocs,https://angel.co/company/breezedocs,5,Melbourne,Document Management,http://www.breezedocs.com,1-10,Seed,150000,Jun ,2012,-37.8142176,144.9631608
SpeechTrans,https://angel.co/company/speechtrans-1,5,Lyndhurst,SaaS,http://www.speechtrans.com,11-50,,320000,Mar ,2012,40.8120247,-74.1242816
BovControl,https://angel.co/company/bovcontrol,4,Redwood City,Internet of Things,http://www.bovcontrol.com,11-50,,3500000,Dec ,2012,37.4863239,-122.2325233
VOIQ,https://angel.co/company/voiq,5,San Francisco,B2B,http://www.voiq.com,11-50,Seed,2600000,Apr ,2012,37.7792808,-122.4192363
Apozy,https://angel.co/company/apozy,5,San Francisco,Enterprise Security,https://www.apozy.com,1-10,Seed,1400000,Dec ,2012,37.7792808,-122.4192363
Speak With Me,https://angel.co/company/speak-with-me,5,Mountain View,Speech Recognition,http://www.speakwithme.com,1-10,Seed,2400000,Apr ,2012,37.3893889,-122.0832101
Meshfire,https://angel.co/company/meshfire-1,4,Seattle,Social Media Marketing,http://www.meshfire.com,1-10,Seed,260000,Oct ,2012,47.6038321,-122.3300624
Zillabyte,https://angel.co/company/zillabyte,5,San Francisco,B2B,http://zillabyte.com,1-10,Seed,,Apr ,2012,37.7792808,-122.4192363
SAEX,https://angel.co/company/saex,4,Sunnyvale,Lead Generation,http://www.saex.co/,11-50,,,Apr ,2012,37.3688301,-122.0363496
ZoeMob,https://angel.co/company/zoemob,5,San Francisco,Location Based Services,https://www.zoemob.com,1-10,Seed,800000,Apr ,2012,37.7792808,-122.4192363
MyFitnessPal,https://angel.co/company/myfitnesspal,5,San Francisco,Fitness,http://www.myfitnesspal.com,51-200,Acquired,18000000,Apr ,2012,37.7792808,-122.4192363
Viralheat,https://angel.co/company/viralheat,5,San Mateo,Social Media Marketing,http://www.viralheat.com/,11-50,Acquired,4250000,Jul ,2012,37.496904,-122.3330573
Ditto,https://angel.co/company/ditto,5,Cambridge,Photo Sharing,http://dittolabs.io,11-50,Series C,6900000,Aug ,2012,52.2034823,0.1235817
F16Apps,https://angel.co/company/f16apps,3,Cairo Governorate,RIM,http://www.f16apps.com,1-10,Series A,,Jul ,2012,30.03496615,31.5634671210709
MobStac,https://angel.co/company/mobstac,5,New York City,Proximity Services,http://mobstac.com,11-50,Series B,2000000,Oct ,2012,40.7127281,-74.0060152
Venddo,https://angel.co/company/venddo,3,Mexico City,Sales Automation,http://www.venddo.com,1-10,Seed,250000,May ,2012,19.4326009,-99.1333416
Powerhive,https://angel.co/company/powerhive,3,Berkeley,,http://www.powerhive.com,11-50,Series A,20000000,Feb ,2012,37.8708393,-122.2728639
Jampp,https://angel.co/company/jampp,4,Buenos Aires,Mobile Commerce,http://www.jampp.com,51-200,Series A,7000000,Mar ,2012,-34.6075616,-58.437076
Frissbi,https://angel.co/company/frissbi,3,Hyderabad,Big Data,http://www.frissbi.com/,1-10,Series A,190000,Sep ,2012,17.38878595,78.4610647345315
Advsor ,https://angel.co/company/advsor,5,San Francisco,Business Services,http://www.advsor.com,1-10,,,Jan ,2012,37.7792808,-122.4192363
BitGym,https://angel.co/company/bitgym,5,San Francisco Bay Area,Fitness,http://www.bitgym.com,1-10,Seed,,Aug ,2012,37.7884969,-122.3558473
Skimbox,https://angel.co/company/skimbox,3,Boston,Email,http://skimbox.co,11-50,,,May ,2012,42.3602534,-71.0582912
Floored,https://angel.co/company/floored,5,New York City,Graphics,http://www.floored.com,11-50,Acquired,6300000,Aug ,2012,40.7127281,-74.0060152
The Eye Tribe,https://angel.co/company/the-eye-tribe,5,Palo Alto,Computer Vision,http://theeyetribe.com,11-50,Acquired,4100000,Aug ,2012,37.4443293,-122.1598465
Gazemetrix,https://angel.co/company/gazemetrix,5,Mountain View,Brand Marketing,https://www.gazeMetrix.com,1-10,Acquired,140000,Jan ,2012,37.3893889,-122.0832101
Indee,https://angel.co/company/indee-1,3,Los Angeles,Film,http://indee.tv,1-10,,,Apr ,2012,34.0536909,-118.2427666
Skive it,https://angel.co/company/skive-it,4,San Francisco,Robotics,https://skive.it,1-10,,,Oct ,2012,37.7792808,-122.4192363
Qbaka,https://angel.co/company/qbaka,4,Saint Petersburg,B2B,http://vision.qbaka.com/,1-10,Seed,245000,Nov ,2012,59.938732,30.316229
HIFI,https://angel.co/company/hifi,5,New York City,Finance Technology,https://hi.fi,11-50,,,Jan ,2012,40.7127281,-74.0060152
Adzuna,https://angel.co/company/adzuna,5,London,Recruiting,http://www.adzuna.co.uk,51-200,Series C,10500000,Aug ,2012,51.5073219,-0.1276474
BeautyArmy,https://angel.co/company/attribuy,5,San Francisco,Personalization,http://www.beautyarmy.com,1-10,,,Oct ,2012,37.7792808,-122.4192363
Kreditech,https://angel.co/company/kreditech,5,Hamburg,Technology,http://www.kreditech.com,51-200,,583900000,Nov ,2012,53.550341,10.000654
Handle My Health,https://angel.co/company/handle-my-health,4,London,Internet of Things,http://www.handlemyhealth.com,1-10,Acquired,74038082,Jun ,2012,51.5073219,-0.1276474
Dsmart Industries,https://angel.co/company/dsmart-industries,3,Memphis,Retail Technology,http://www.dsmartinc.com,11-50,,4000000,Apr ,2012,35.1490215,-90.0516285
Zaya Learning Labs,https://angel.co/company/zaya-learning-labs,4,Mumbai,K-12 Education,http://www.zaya.in,11-50,,600000,Apr ,2012,18.9387711,72.8353355
Enertiv,https://angel.co/company/enertiv,5,New York City,Big Data Analytics,https://www.enertiv.com,11-50,,4290000,Dec ,2012,40.7127281,-74.0060152
TripleLift,https://angel.co/company/triplelift,5,London,Native Advertising,http://triplelift.com,51-200,Series B,16625000,Apr ,2012,51.5073219,-0.1276474
Perzo,https://angel.co/company/perzo-4,5,Palo Alto,Unifed Communications,http://perzo.com,1-10,Acquired,,Sep ,2012,37.4443293,-122.1598465
