market,products,launch_stage,activity_level,activity_verified,pageviews,team_member,founded_by,revenue_stage,revenue_through,twitter_followers,percentile,amount_raised,company_website,description,name,founded,place,crunchbase_link,ranking
"'other', 'e commerce', 'retail', 'software dev'","'service', 'web app'",Publicly,Low company activity detected,13 Aug 19,~10k,5-10,'Piio',Pre,"'b2b', 'sales', 'subscription'",228,9,Undisclosed,https://piio.co?ref=startuptracker,"""Generates responsive images so you don't have to optimize""",'Piio',January 1 2018,San Francisco US,https://www.crunchbase.com/organization/piio,471.8k
"'advertising', 'marketing', 'sales'","'other', 'service', 'web app'",Publicly,No recent company activity detected,12 Aug 19,~24.5k,4,'Daniel Levi',Pre,"'b2b', 'free to use'",190,9,Undisclosed,https://www.mailgenius.com/?ref=startuptracker,'Find out if your email is likely to trigger spam filters. Run a free email spam and security test in less than 1 minute with MailGenius.com','MailGenius',April 30 2019,Los Angeles US,https://startuptracker.io,194.2k
'health','mobile app',Publicly,High company activity detected,7 Aug 19,~113.1m,2,'Mooditude App',Pre,"'b2c', 'free to use'",1k,9,Undisclosed,https://apps.apple.com/us/app/mooditude-mood-tracker-cbt/id1450661800?ref=startuptracker,'Mooditude helps build resilience to stress and anxiety','Mooditude',April 4 2019,Santa Monica US,https://producthunt.com/posts/moody,45
"'other', 'messaging'","'desktop app', 'web app'",Publicly,No recent company activity detected,5 Aug 19,~3.4k,5-10,'Danilka',Pre,"'b2b', 'freemium', 'subscription'",11,9,Undisclosed,https://replynow.io/?ref=startuptracker,'Single inbox for business messengers.','Reply Now',May 1 2018,San Jose US,https://crunchbase.com/organization/reply-now,1.4m
"'consulting', 'insurance', 'security', 'ai'",'service',Pre,No recent company activity detected,4 Aug 19,0,2,"'breachbits', 'John L.'",Pre,"'b2b', 'b2g', 'subscription'",84,9,Self,http://www.breachbits.com?ref=startuptracker,"'Continuous, affordable, and powerful cyber Red Teaming service - powered by artificial intelligence and automation.'",'breachbits',February 28 2018,"Washington, D.C. US",https://www.crunchbase.com/organization/breachbits,0
"'design', 'productivity', 'startups'",'web app',Publicly,High company activity detected,3 Aug 19,~18.9k,3,"'PlaybookUX', 'Personal Zen'",Pre,"'b2b', 'freemium'",204,9,Undisclosed,https://www.playbookux.com?ref=startuptracker,'PlaybookUX is a user testing software that connects businesses with their target demographic.','PlaybookUX',November 1 2018,New York US,https://crunchbase.com/organization/playbookux,251.5k
"'design', 'e commerce', 'fashion', 'social networks'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,3 Aug 19,~1.4k,5-10,'Genau Junior',Pre,"'other', 'b2c', 'b2b', 'free to use', 'commission', 'affiliation'",3.2m,9,Undisclosed,http://yoobe.me?ref=startuptracker,'Platform to help celebrities and content creators to create their merchandise store.','Yoobe',November 8 2018,San Francisco US,https://www.crunchbase.com/organization/yoobe,3.2m
'hr and recruitment','desktop app',Publicly,No recent company activity detected,2 Aug 19,0,5-10,'Nynedge',Pre,"'b2c', 'b2b', 'free to use', 'subscription'",30,9,Undisclosed,https://www.nynedge.com?ref=startuptracker,'Nynedge is a peer to peer SaaS-based Platform for Remote Jobs.','Nynedge',November 23 2018,GAITHERSBURG US,https://www.crunchbase.com/organization/nynedge,0
"'data', 'productivity', 'messaging', 'software dev'","'desktop app', 'mobile app', 'service'",Publicly,No recent company activity detected,1 Aug 19,0,1,,Pre,"'b2c', 'freemium'",See,9,Undisclosed,https://www.copybucket.com?ref=startuptracker,'Collaboration is now as easy as copy and paste!','CopyBucket',January 31 2018,Cupertino US,https://startuptracker.io,0
"'data', 'social networks', 'real estate'","'mobile app', 'web app'",Privately,No recent company activity detected,31 Jul 19,56,5-10,"'Lillian', 'Yooney 🏗', 'Block Notary', 'Microwork', 'POA Network'",Pre,"'b2c', 'b2b', 'freemium', 'sales', 'subscription'",56,9,Undisclosed,https://yooney.com?ref=startuptracker,'View construction history before you hire and build','Yooney',January 8 2019,san mateo US,https://www.crunchbase.com/organization/yooney,0
"'other', 'social networks'",'web app',Pre,No recent company activity detected,29 Jul 19,252,1,'ColdCrowd',Pre,"'b2c', 'other', 'free to use'",252,9,Undisclosed,https://www.coldcrowd.com/?ref=startuptracker,'Crowdfunding and crowdsourcing for cold and unsolved cases.','ColdCrowd',July 22 2019,Cleveland US,https://crunchbase.com/organization/coldcrowd,0
'productivity',"'desktop app', 'web app'",Publicly,High company activity detected,28 Jul 19,0,2,,Pre,"'b2c', 'b2b', 'subscription'",See,9,Undisclosed,https://publist.app?ref=startuptracker,"'Publist connects to all of the apps you use so you can search, organize, and store all of your file in one place.'",'Publist',June 5 2017,San Fransisco US,https://crunchbase.com/organization/publist,0
"'food and beverages', 'fashion', 'startups', 'sales'","'mobile app', 'service'",Publicly,High company activity detected,25 Jul 19,0,5-10,'MyCali Designs',Post,"'other', 'b2c', 'b2b', 'non profit', 'sales', 'subscription'",10,9,Undisclosed,http://www.dapitapp.com?ref=startuptracker,"'DapIt is a new way for businesses to offer gift cards digitally. Customers have the ability to buy, give instantly, share, and pay.'",'DapIt App',March 1 2018,Woodland US,https://www.crunchbase.com/organization/dapit-app,0
"'other', 'startups', 'ai', 'software dev'","'other', 'desktop app', 'mobile app', 'service', 'web app'",Publicly,High company activity detected,24 Jul 19,~18.6k,11-50,'Testsigma',Pre,"'other', 'b2c', 'b2b', 'affiliation', 'freemium', 'subscription'",360,9,Undisclosed,https://testsigma.com?ref=startuptracker,'AI Driven Test Automation for all!','Testsigma',August 26 2017,Delaware US,https://www.crunchbase.com/organization/testsigma-inc,255.8k
"'analytics', 'productivity', 'hr and recruitment', 'startups'",'web app',Pre,High company activity detected,23 Jul 19,~18.1k,5-10,"'Andriy Bas', 'Dima Kovalenko'",Pre,"'b2b', 'free to use', 'freemium', 'subscription'",80,9,Undisclosed,https://plai.team?ref=startuptracker,"'Plai, Align and focus your employees around what matters with the first free OKR tool. Set objectives, track progress and monitor dashboard!'",'Plai',June 4 2019,Los Angeles US,https://crunchbase.com/organization/plai-a8fd,261.8k
'finance','service',Privately,High company activity detected,23 Jul 19,~34k,11-50,"'Henry Yoshida, CFP®', 'Thomas Young', 'Richard Dude Jr.'",Pre,"'b2c', 'b2b', 'affiliation', 'sales', 'subscription'",819,9,Undisclosed,https://www.rocketdollar.com?ref=startuptracker,'Invest IRAs and old 401(k)s into cool things. Welcome to “21st century diversification”','Rocket Dollar',February 15 2018,Austin US,https://www.crunchbase.com/organization/rocket-dollar,140.4k
"'startups', 'software dev'",'web app',Publicly,No recent company activity detected,23 Jul 19,0,3,'Darshan Patil',Pre,"'b2b', 'subscription'",See,9,Undisclosed,https://fluxroll.com?ref=startuptracker,'Production support for modern teams','fluxroll',June 1 2018,New York US,https://betalist.com/startups/fluxroll,0
"'communication', 'consulting', 'sales', 'software dev'","'service', 'web app'",Publicly,No recent company activity detected,21 Jul 19,~979,4,"'ScopeStack', 'Jon Scott'",Post,"'b2b', 'subscription'",36,9,Undisclosed,https://scopestack.io?ref=startuptracker,"'In one simple step, the platform enables engineers to accurately price professional services and reduce time to scope a project'",'ScopeStack',January 1 2018,"Greenville, SC US",https://startuptracker.io,4.7m
"'analytics', 'data', 'big data'",'web app',Publicly,High company activity detected,16 Jul 19,0,11-50,'Peter Bailis',Pre,"'b2b', 'freemium', 'sales'",1.2k,9,Undisclosed,http://www.sisu.ai?ref=startuptracker,'We’re building a new kind of software that empowers people to make better decisions with data.','Sisu',May 15 2018,San Francisco US,https://www.crunchbase.com/organization/sisu-data,0
"'biotech', 'health', 'blockchain', 'medical'",'other',Pre,No recent company activity detected,15 Jul 19,0,4,"'Josh Maurer', 'Todd'",Pre,'other',316,9,Undisclosed,https://MedBlox.io?ref=startuptracker,'MedBlox provides validation of Patient Identity across organizations.','MedBlox',January 1 2018,Coralville US,https://crunchbase.com/organization/medblox,0
"'education', 'marketing', 'hr and recruitment', 'accounting and legal'","'service', 'web app'",Privately,High company activity detected,12 Jul 19,~17.3k,5-10,'Bogdan Glushko',Pre,"'b2b', 'free to use', 'subscription'",180,9,Undisclosed,https://www.mightyforms.com/?ref=startuptracker,'Create connections and scale your business with a more powerful and flexible online form builder.','MightyForms',August 10 2018,Cleveland US,https://www.crunchbase.com/organization/mightyforms,275.1k
"'media', 'startups', 'content', 'sales'",'service',Pre,High company activity detected,12 Jul 19,0,2,'Alex',Pre,"'b2c', 'b2b', 'subscription'",224,9,Undisclosed,https://basicly.io?ref=startuptracker,'Basicly is a tool to help video makers get paid as soon as a project is completed.','Basicly',May 6 2019,New York US,https://producthunt.com/posts/basicly,0
"'communication', 'productivity', 'ai', 'bots'","'service', 'web app'",Privately,Sourced by Startup Tracker,10 Jul 19,~2.5k,5-10,"'Keeni', 'SpotTune', 'TUNE', 'Eat Tune', 'a-tune', 'Aurora Forecast'",Pre,"'b2b', 'b2g', 'subscription'",5,9,Undisclosed,https://keeni.space?ref=startuptracker,'Ubiquitous platform for standardizing and sharing operating procedures to increase performance and collaboration of diverse global teams.','Keeni Procedures',January 1 2019,Anchorage US,https://crunchbase.com/organization/keeni-space,1.9m
'ai','web app',Publicly,Sourced by Startup Tracker,9 Jul 19,~3.9k,101-250,'Margaret',Pre,"'b2b', 'sales'",4,9,Undisclosed,https://getdatabees.com?ref=startuptracker,'Custom Lead Research at Scale','DataBees',December 31 2016,San Francisco US,https://startuptracker.io,1.2m
"'e commerce', 'travel', 'blockchain'","'mobile app', 'web app'",Publicly,High company activity detected,8 Jul 19,~208.4k,5-10,"'Lolli 🍭', '§Alex Adelman 🍭', '§matt 🍭'",Pre,"'b2c', 'free to use'",46k,9,Undisclosed,http://www.lolli.com?ref=startuptracker,'Lolli lets you earn free bitcoin when you shop online.','Lolli',March 1 2018,New York US,https://www.crunchbase.com/organization/lolli,23.2k
'startups','service',Publicly,High company activity detected,21 Jun 19,~1.2k,1,,Pre,"'b2b', 'advertising'",3.9m,9,Self,http://www.cypresshomecare.com/?ref=startuptracker,"'Cypress Homecare Solutions provides top quality, individualized & compassionate care to clients.'",'Cypress Home Care Solutions',January 1 1988,Phoenix US,https://startuptracker.io,3.9m
"'analytics', 'e commerce', 'marketing', 'startups'",'web app',Publicly,Low company activity detected,20 Jun 19,~15.5k,1,"'zigpoll', 'JQBX'",Pre,"'b2c', 'b2b', 'free to use', 'subscription'",11,9,Self,https://www.zigpoll.com?ref=startuptracker,'Fun and flexible polling widget for your website','Zigpoll',April 7 2019,New York US,https://www.crunchbase.com/organization/zigpoll,305.7k
"'advertising', 'consulting', 'education', 'governmental'","'desktop app', 'mobile app', 'service', 'web app'",Publicly,No recent company activity detected,19 Jun 19,~9.3k,2,"'Colorful Dots, LLC', 'Eric David Smith'",Pre,"'b2c', 'b2b', 'b2g', 'sales'",583,9,Undisclosed,https://colorfuldots.com/?ref=startuptracker,"'We develop custom mobile applications, and websites. We offer a wide range of technical services within the private and public sectors.'","'Colorful Dots, LLC'",March 26 2018,Brooklyn US,https://www.crunchbase.com/organization/colorful-dots,507.8k
"'education', 'entertainment'","'mobile app', 'web app'",Privately,No recent company activity detected,18 Jun 19,0,5-10,'Try Storied',Pre,"'non profit', 'free to use', 'freemium', 'subscription'",8,9,Undisclosed,https://www.trystoried.com?ref=startuptracker,'Top-Rated 5 Minute fresh and original content Stories for Children that will spark intrigue for years to come.','Try Storied App',January 31 2019,California US,https://startuptracker.io,0
"'advertising', 'media', 'social networks', 'big data'","'mobile app', 'web app'",Pre,No recent company activity detected,14 Jun 19,3.3k,5-10,,Pre,"'other', 'free to use', 'advertising'",3.3k,9,Undisclosed,https://www.bawler.xyz/?ref=startuptracker,'A free and accessible social network for written content and podcasts.','Bawler',January 23 2019,New York US,https://www.crunchbase.com/organization/bawler,0
'advertising','service',Publicly,High company activity detected,13 Jun 19,~659,1,,Pre,"'b2b', 'other'",7m,9,Undisclosed,https://www.ketamine-infusion.com/?ref=startuptracker,"'Get real relief from chronic pain, depression'",'Ketamine Infusion Centers',January 1 1988,Phoenix US,https://startuptracker.io,7m
"'other', 'hr and recruitment', 'startups', 'real estate'","'desktop app', 'mobile app', 'web app'",Privately,High company activity detected,12 Jun 19,~29.6k,51-100,"'Zach Dunn', 'Sam Dunn'",Post,"'b2b', 'sales'",1.3k,9,$29.1m,https://robinpowered.com?ref=startuptracker,'Robin modernizes the open office. The solution to the open office isn’t more walls. It’s activity-based working.','Robin',March 1 2014,Boston US,https://www.crunchbase.com/organization/getrobin,161.2k
'advertising','service',Publicly,No recent company activity detected,12 Jun 19,2,1,"'Maria E. Marzo, DDS'",Pre,"'b2c', 'other'",2,9,Undisclosed,https://www.fingerlakesfamilydental.com/?ref=startuptracker,"'Finding a family dental clinic near Corning, Bath, and Horseheads, NY'",'Finger Lakes Family Dental',January 1 1988,Painted Post US,https://startuptracker.io,0
"'other', 'advertising'",'service',Publicly,High company activity detected,12 Jun 19,~1.3k,1,,Pre,"'b2b', 'other'",3.5m,9,Undisclosed,https://www.sellmysahousefast.com?ref=startuptracker,"'We Buy Houses San Antonio, Cash For House San Antonio'",'Capstone Homebuyers',January 1 1988,San Antonio US,https://startuptracker.io,3.5m
"'analytics', 'marketing', 'ai', 'content'","'desktop app', 'service', 'web app'",Privately,No recent company activity detected,11 Jun 19,~1.4k,5-10,'MKTR.AI',Post,"'b2b', 'other', 'sales'",207,9,Undisclosed,https://www.mktr.ai?ref=startuptracker,'Technical Marketing Software products built to simplify inbound marketing for SMBs.','MKTR.AI',February 14 2018,san francisco US,https://www.crunchbase.com/organization/mktr-ai,3.3m
'advertising','service',Publicly,High company activity detected,22 May 19,Self,1,,Pre,"'b2c', 'other'",9,9,Self,https://www.saxtonindustrial.com/?ref=startuptracker,"'For over 65 years, Saxton Industrial has been designing and manufacturing'","'Saxton Industrial, Inc.'",January 1 1988,Glendale US,https://startuptracker.io,0
'advertising','service',Publicly,High company activity detected,11 Jun 19,Undisclosed,1,,Pre,"'b2b', 'other'",9,9,Undisclosed,https://www.siarum.com/?ref=startuptracker,'Siarum consolidates all your business tools into one single\xa0platform.',"'Siarum Communications, LLC'",January 1 1988,Birmingham US,https://www.crunchbase.com/organization/siarum-communications-llc,0
'startups','service',Pre,High company activity detected,11 Jun 19,Undisclosed,11-50,,Pre,"'b2b', 'free to use'",9,9,Undisclosed,https://www.dsplumbingrepair.com/?ref=startuptracker,'D&S Plumbing is family-owned and-operated company with over 20 years of experience.','D & S Plumbing Repair',December 31 1989,Locust Grove US,https://startuptracker.io,0
'advertising','service',Publicly,No recent company activity detected,11 Jun 19,~1.2k,1,'Applewild School',Pre,"'b2c', 'other'",3.8m,9,Undisclosed,http://www.rosso.com?ref=startuptracker,"""Rosso's furniture of Gilroy and Morgan""","""Rosso's Furniture""",January 1 1988,Gilroy US,https://startuptracker.io,3.8m
'advertising','service',Publicly,High company activity detected,11 Jun 19,~2.5k,1,,Pre,"'b2c', 'other'",1.8m,9,Undisclosed,http://www.healthysolutionsweb.com/?ref=startuptracker,"'At Healthy Solutions™, LLC we have years of experience'",'Healthy Solutions LLC',January 1 1988,Scottsdale US,https://startuptracker.io,1.8m
'startups','service',Pre,No recent company activity detected,11 Jun 19,Undisclosed,11-50,'Jerry Franklin',Pre,"'b2b', 'free to use'",9,9,Undisclosed,https://www.williamshm.com/?ref=startuptracker,"'Keep your cool no matter where you are in the Arlington, TX area. You can depend on the team at Williams Home Maintenance, Inc'","'Williams Home Maintenance, Inc'",December 31 1989,Pantego US,https://startuptracker.io,0
'advertising','other',Publicly,No recent company activity detected,11 Jun 19,~2k,1,'Applewild School',Pre,"'b2c', 'other'",2.4m,9,Undisclosed,http://toarminapizza.com/?ref=startuptracker,'We are a Michigan based company.\xa0 Since 1987','Toarminas Pizza',January 1 1988,Dearborn US,https://startuptracker.io,2.4m
"'finance', 'sharing economy', 'startups', 'blockchain'","'service', 'web app'",Publicly,High company activity detected,9 Jun 19,~78k,11-50,"'Rohit from Mudrex', 'PaxPlay'",Pre,"'b2c', 'b2b', 'freemium', 'subscription'",1.9k,9,Undisclosed,http://mudrex.com?ref=startuptracker,'Mudrex helps anyone invest like an algorithmic trader','Mudrex',January 6 2019,San Francisco US,https://www.crunchbase.com/organization/mudrex,61.6k
"'other', 'productivity', 'social networks'","'other', 'web app'",Privately,No recent company activity detected,7 Jun 19,0,2,'Carlo Tapia',Pre,"'b2c', 'b2b', 'free to use', 'freemium'",7,9,Undisclosed,http://www.vestedyeti.com?ref=startuptracker,"'Vested Yeti is a new home for your web pages. Organize your web pages, share web pages with friends, and keep track of your web pages.'",'Vested Yeti',April 23 2016,Sacramento US,https://www.crunchbase.com/organization/vested-yeti,0
"'gaming', 'ar/vr'",'desktop app',Privately,High company activity detected,7 Jun 19,0,3,'Shane Evans',Pre,"'b2b', 'sales', 'subscription'",46,9,Self,http://GameDriver.io?ref=startuptracker,"'Automated play testing for video games, AR and VR.'",'GameDriver',May 28 2018,Martinez US,https://crunchbase.com/organization/gamedriver-inc,0
'advertising','service',Publicly,No recent company activity detected,7 Jun 19,Undisclosed,1,'Applewild School',Pre,"'b2b', 'other'",9,9,Undisclosed,http://schaeferssoftwater.com/?ref=startuptracker,"'At Schaefer’s Soft Water, we carry water softner systems that are approved for the state of Wisconsin'",'Schaefers Soft Water',January 1 1988,Watertown US,https://startuptracker.io,0
'startups','service',Pre,No recent company activity detected,7 Jun 19,Undisclosed,11-50,'Brabazon Law Office',Pre,"'b2b', 'free to use'",9,9,Undisclosed,http://www.brabazonlawoffice.com/?ref=startuptracker,"'If you are facing criminal and family law issues, attorneys at Brabazon Law Office will help you to protect your legal rights'",'Brabazon Law Office LLC',December 31 1989,Green Bay US,https://startuptracker.io,0
'advertising','service',Publicly,No recent company activity detected,6 Jun 19,~1.7k,1,'Applewild School',Pre,"'b2c', 'other'",2.7m,9,Undisclosed,https://acornkitchen.com/?ref=startuptracker,"""Acorn Kitchen & Bath, one of Michigan's largest Kitchen and Bath design showrooms""",'Acorn Kitchen & Bath',December 31 1987,Pontiac US,https://startuptracker.io,2.7m
'advertising',"'other', 'service'",Publicly,No recent company activity detected,6 Jun 19,~570,1,'Applewild School',Pre,"'b2c', 'other'",8.1m,9,Self,https://everydayinvestments.com/?ref=startuptracker,'Everyday Investments Realty offers you a broad menu of comprehensive residential','Everyday Investments',January 1 1988,Scottsdale US,https://startuptracker.io,8.1m
'advertising','service',Publicly,No recent company activity detected,6 Jun 19,~1.4k,1,'Applewild School',Pre,"'b2c', 'other'",3.3m,9,Undisclosed,http://pediatrixmd.com/?ref=startuptracker,'Welcome to Pediatrix! With exceptional child care since 1986.','Pediatrix',January 1 1988,Phoenix US,https://startuptracker.io,3.3m
"'advertising', 'finance', 'insurance', 'marketing'",'web app',Publicly,High company activity detected,6 Jun 19,~44.1k,51-100,'David Gasparyan',Pre,"'b2b', 'commission', 'subscription'",314,9,Undisclosed,https://phonexa.com?ref=startuptracker,"""Phonexa's powerful tracking solutions deliver insight on your marketing campaigns, allowing you to make smarter optimizations.""",'Phonexa',December 1 2016,Glendale US,https://crunchbase.com/organization/phonexa,108.3k
'advertising','service',Publicly,No recent company activity detected,6 Jun 19,Undisclosed,1,'Applewild School',Pre,"'b2c', 'other'",9,9,Undisclosed,https://mygreenwooddentist.com/?ref=startuptracker,'Stacy D. Johnson Family Dentist specialize in dental care for the entire family including general dentistry','Stacy D. Johnson Family Dentist',January 1 1988,Greenwood US,https://startuptracker.io,0
'advertising','service',Publicly,High company activity detected,5 Jun 19,Undisclosed,1,,Pre,"'b2b', 'other'",9,9,Undisclosed,https://faithinkapparel.com?ref=startuptracker,'Faith Ink is a unique shopping website with a distinctive tone focusing','Faith Ink Apparel',January 1 1988,Huntington Beach US,https://startuptracker.io,0
'advertising','other',Publicly,High company activity detected,5 Jun 19,Undisclosed,1,,Pre,"'b2b', 'other'",9,9,Undisclosed,http://www.fandvt.com/?ref=startuptracker,"'When you hire Fischer & Van Thiel, you are hiring a team of family law attorneys'","'Fischer & Van Thiel, L.L.P.'",January 1 1988,Oceanside US,https://startuptracker.io,0
'advertising','service',Publicly,High company activity detected,4 Jun 19,~1.7k,1,,Pre,"'b2b', 'other'",2.8m,9,Self,https://www.clevelandfurniturecompany.com/?ref=startuptracker,"'The Cleveland Furniture Company is a family owned Furniture store located in Cleveland, OH.'",'The Cleveland Furniture Company',December 31 1987,Parma US,https://startuptracker.io,2.8m
'advertising','other',Publicly,High company activity detected,4 Jun 19,Self,1,,Pre,"'b2c', 'other'",9,9,Self,https://www.governorsparkchiropractic.com?ref=startuptracker,'Governor’s Park Chiropractic provides you with excellent chiropractic care',"""Governor's Park Chiropractic - Denver""",January 1 1988,Denver US,https://startuptracker.io,0
'startups','service',Publicly,High company activity detected,3 Jun 19,~938,1,,Pre,"'b2b', 'other'",4.9m,9,Undisclosed,https://tilespecialistsmadison.com/?ref=startuptracker,"'Tile Specialists of Madison is a small, family owned stone and tile installations services provider in Madison, WI.'","'Tile Specialists of Madison, LLC'",January 1 1988,Windsor US,https://startuptracker.io,4.9m
'startups','service',Publicly,High company activity detected,3 Jun 19,Undisclosed,1,,Pre,"'b2b', 'other'",9,9,Undisclosed,http://www.heartsmartcpr.com/?ref=startuptracker,"'Heart Smart CPR teaches American Heart Association classes for BLS health care providers, basic CPR and AED'",'Heart Smart CPR',January 1 1988,Leander US,https://www.crunchbase.com/organization/heart-smart-cpr,0
'startups','service',Pre,High company activity detected,3 Jun 19,Undisclosed,11-50,,Pre,"'b2b', 'free to use'",9,9,Undisclosed,https://www.apluspe.com/?ref=startuptracker,"'A+ Pest and Environmental Services provides exceptional pest control and environmental services in Cape Coral, Florida.'","'A+ Pest And Environmental Services, Inc.'",December 31 1989,Cape Coral US,https://startuptracker.io,0
'startups','service',Pre,No recent company activity detected,3 Jun 19,~788,11-50,'Parker Amos',Pre,"'b2b', 'free to use'",5.9m,9,Undisclosed,https://www.amosfamily.com/?ref=startuptracker,'Amos Family Funeral Home & Crematory provides complete funeral services and cremations for the communities of Roeland Park','Amos Family Funeral Home & Crematory',December 31 1989,Shawnee US,https://startuptracker.io,5.9m
'startups','service',Pre,High company activity detected,3 Jun 19,Undisclosed,11-50,,Pre,"'b2b', 'free to use'",9,9,Undisclosed,https://www.simonandmilner.com/?ref=startuptracker,"""Simon & Milner protects your rights if you've been arrested or convicted of a crime. From DWIs to assault charges, we defend you in court.""",'Simon & Milner',December 31 1989,Valley Stream US,https://startuptracker.io,0
'startups','service',Pre,Low company activity detected,31 May 19,Undisclosed,11-50,,Pre,"'b2b', 'free to use'",9,9,Undisclosed,https://locksmithokc.com/?ref=startuptracker,"'At Oklahoma City Locksmith, our locksmiths are committed to providing the right solution for every lock and security system issue.'",'Oklahoma City Locksmith',December 31 1989,Oklahoma City US,https://startuptracker.io,0
"'design', 'e commerce', 'startups', 'software dev'","'service', 'web app'",Publicly,High company activity detected,31 May 19,~494.1k,11-50,"'Asad', 'Jay Singh'",Pre,"'b2b', 'freemium', 'subscription'",1.5k,9,Undisclosed,https://www.lambdatest.com/?ref=startuptracker,'LambdaTest is a cloud-based cross-browser testing platform where you can test your website and web app across 2000+ browser-OS combinations.','LambdaTest',May 2 2017,San Francisco US,https://www.crunchbase.com/organization/lambdatest,9.9k
"'advertising', 'startups'",'service',Pre,No recent company activity detected,31 May 19,Undisclosed,11-50,'Alamo Insurance',Pre,"'b2b', 'free to use'",9,9,Undisclosed,http://alamoinsurance.us?ref=startuptracker,"'Alamo Insurance & Financial Service provides quality insurance of auto, commercial, property, health, life, contractors.'",'Alamo Insurance & Financial Service',December 31 1989,Round Lake Beach US,https://startuptracker.io,0
'advertising','service',Publicly,High company activity detected,30 May 19,Undisclosed,1,,Pre,"'b2b', 'other'",9,9,Undisclosed,https://www.simplequarters.com/?ref=startuptracker,'We are not a referral network; we are local Indianapolis-based real estate investors','Simple Quarters - We Buy Houses Indianapolis',January 1 1988,Carmel US,https://startuptracker.io,0
"'analytics', 'blockchain', 'accounting and legal', 'big data'",'service',Publicly,High company activity detected,29 May 19,~2.1k,5-10,"'Soufian Idriss', 'Dana Panzer', 'Clarity', 'Clarity Money'",Post,"'b2b', 'subscription'",See,9,Undisclosed,http://www.cmorq.com?ref=startuptracker,'Provides the easiest way to access on-chain data.','cmorq',October 2 2018,New York US,https://www.crunchbase.com/organization/cmorq,2.2m
'startups','service',Pre,No recent company activity detected,29 May 19,Undisclosed,11-50,'Paul Muret',Pre,"'b2b', 'free to use'",9,9,Undisclosed,http://muretcpa.com/?ref=startuptracker,'Muret CPA PLLC provides superior professional services including Tax Preparation.','Muret CPA PLLC',December 31 1989,Tulsa US,https://startuptracker.io,0
'startups','service',Pre,No recent company activity detected,29 May 19,~535,11-50,'Steve Moberley',Pre,"'b2b', 'free to use'",8.6m,9,Undisclosed,https://www.scramspeed.com/?ref=startuptracker,"'Scram Speed Shop is located in Mahomet, Champaign and Bloomington, IL. Scram Speed offers fabrication and welding services'",'Scram Speed',December 31 1989,Mahomet US,https://startuptracker.io,8.6m
"'analytics', 'finance', 'blockchain', 'big data'",'web app',Publicly,No recent company activity detected,28 May 19,247,5-10,'Coinediction',Pre,"'b2c', 'commission'",247,9,Self,https://coinediction.com/?ref=startuptracker,'A cryptocurrency predictions marketplace','Coinediction',April 6 2018,Miami US,https://crunchbase.com/organization/coinediction,0
'health',"'mobile app', 'web app'",Publicly,No recent company activity detected,28 May 19,~1.2k,3,'Vistar Singh',Pre,"'b2b', 'subscription'",14,9,Self,https://getstudioyou.com/?ref=startuptracker,"'All in one software for fitness studios and gyms to manage scheduling, sales and marketing.'",'StudioYou',October 31 2018,"Mountain View, CA US",https://angel.co/company,4m
"'analytics', 'data', 'startups', 'big data'","'service', 'web app'",Publicly,No recent company activity detected,27 May 19,~862,5-10,'Statful',Pre,"'b2c', 'b2b', 'freemium', 'sales'",198,9,Undisclosed,https://www.statful.com?ref=startuptracker,'Statful is a customized monitoring platform to track any type of metric. We provide you with real-time data in a centralized point-of-view.','Statful',July 31 2016,San Diego US,https://crunchbase.com/organization/statful,5.4m
"'communication', 'design', 'marketing', 'messaging'",'web app',Publicly,Low company activity detected,24 May 19,~4.5k,3,"'Emily Brackett, President of Visible Logic', 'Emily Brackett'",Post,"'b2b', 'affiliation', 'sales'",18,9,Undisclosed,https://brandingcompass.com?ref=startuptracker,"'Branding Compass gives automated, expert branding advice. Discover the best words, fonts, colors & visuals for your branding and marketing.'",'Emily Brackett',May 15 2016,Portland US,https://betalist.com/startups/branding-compass,1m
"'finance', 'startups'","'desktop app', 'hardware', 'mobile app', 'physical goods', 'service', 'web app'",Publicly,High company activity detected,23 May 19,~1.7k,2,'deposit Bitcoin',Pre,"'b2c', 'free to use'",2,9,$7,https://depositbc.com/live-casino-bitcoin/?ref=startuptracker,'Live Casino that Accept Bitcoin Deposit Search Tool','Live Casino that Accept Bitcoin Deposit',December 31 2018,New York US,https://producthunt.com/posts/mobile-casino-sites-with-bitcoin-deposit,2.7m
"'entertainment', 'finance'","'desktop app', 'hardware', 'mobile app', 'physical goods', 'service', 'web app'",Publicly,No recent company activity detected,23 May 19,~895,2,'Deposit PayPal',Pre,"'b2c', 'free to use'",2,9,$100b,https://depositnt.com/online-casino-neteller/?ref=startuptracker,'Online Casino Sites Accepting Neteller Search Tool','Online Casino Accepting Neteller Search Tool',December 31 2018,New York US,https://angel.co/company,5.2m
"'sharing economy', 'startups'",'mobile app',Privately,High company activity detected,21 May 19,~5.6k,5-10,"'Zlatko', 'Tako Agency'",Pre,"'b2c', 'b2b', 'commission'",40,9,Self,https://sparetoolz.com/?ref=startuptracker,'Peer-to-peer tool rental application on iOS','Sparetoolz',January 1 2018,Rocklin US,https://www.crunchbase.com/organization/sparetoolz,846.2k
