market,products,launch_stage,activity_level,activity_verified,pageviews,team_member,founded_by,revenue_stage,revenue_through,twitter_followers,percentile,amount_raised,company_website,description,name,founded,place,crunchbase_link,ranking
"'marketing', 'productivity', 'social networks', 'startups'","'desktop app', 'mobile app', 'service', 'web app'",Publicly,Low company activity detected,21 Jan 21,~72.6k,11-50,'SocialMeep',Post,"'b2c', 'b2b', 'freemium', 'subscription'",184,9,Undisclosed,https://socialmeep.com?ref=startuptracker,'SocialMeep builds automatic growth and marketing tools for Instagram.','SocialMeep',March 3 2018,New York US,https://www.crunchbase.com/organization/socialmeep,66.1k
"'design', 'education', 'software dev'",'web app',Publicly,High company activity detected,15 Jan 21,~18.9k,4,'DesignerUp',Pre,"'b2c', 'free to use', 'sales'",590,9,Undisclosed,http://DesignerUp.co?ref=startuptracker,'An ecosystem of UI/UX and product design resources to help you become a more mindful designer and create better products.','DesignerUp',October 21 2018,San Francisco US,https://angel.co/company,252k
"'advertising', 'marketing', 'startups', 'content'",'web app',Publicly,High company activity detected,14 Jan 21,~1.7k,4,"'strategynode', 'Tyler J. Fox'",Pre,"'b2c', 'b2b', 'free to use'",7,9,Undisclosed,https://katang.io/?t_pid=2?ref=startuptracker,"'KaTang is an end-to-end content marketing platform that facilitates co-branded content curation and distribution, all for free.'",'KaTang',November 1 2019,Lehi US,https://www.crunchbase.com/organization/katang,2.7m
"'advertising', 'e commerce', 'media', 'content'","'mobile app', 'web app'",Publicly,High company activity detected,30 Dec 20,~5k,5-10,"'Rad Padre', 'Freedom TV+'",Pre,"'b2c', 'free to use', 'commission', 'affiliation'",11,9,Undisclosed,https://www.freedomrains.com/?ac=218B21?ref=startuptracker,"'Shopping assistant browser extension that provides coupons, price tracks and helps users shop sustainably.'","'Above & Beyond Studios, Inc.'",June 26 2019,Boston US,https://producthunt.com/posts/freedom-super-saver-shopping-assistant,945.7k
"'security', 'blockchain'",'mobile app',Publicly,No recent company activity detected,29 Dec 20,~957,5-10,'VyrocApp',Post,"'b2c', 'free to use', 'advertising', 'subscription'",17,9,Undisclosed,http://vyrocapp.com?ref=startuptracker,"'Private Search Engine, Powered by the Blockchain'",'Vyroc',January 1 2020,New York US,https://www.crunchbase.com/organization/vyroc,4.8m
"'communication', 'marketing', 'startups', 'sales'","'service', 'web app'",Privately,High company activity detected,5 Dec 20,~2.8k,11-50,'Chris Beaman',Post,"'b2b', 'freemium', 'sales', 'subscription'",29,9,Self,https://www.astronomic.com?ref=startuptracker,'We connect founders and help them grow','Astronomic',June 1 2020,Austin US,https://startuptracker.io,1.7m
"'data', 'productivity', 'startups', 'content'","'other', 'desktop app', 'mobile app', 'web app'",Pre,High company activity detected,3 Dec 20,~2.1k,5-10,'Snipply',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",110,9,Undisclosed,http://www.snipply.io?ref=startuptracker,"'Snipply connects the content inside the apps you already use like G Suite and Microsoft® Office, allowing you to keep everything in sync.'",'Snipply',June 1 2019,New York US,https://startuptracker.io,2.2m
"'analytics', 'manufacturing', 'productivity', 'software dev'","'desktop app', 'web app'",Privately,High company activity detected,25 Nov 20,~8.3k,11-50,'Angshuman Guha',Pre,"'b2b', 'affiliation', 'freemium', 'sales'",92,9,Undisclosed,https://bipp.io/?ref=startuptracker,"'bipp is an enterprise-grade, cloud business intelligence platform. We help data analysts create faster queries & deliver sharper insights.'",'bipp Analytics',July 15 2017,Plano US,https://www.crunchbase.com/organization/bipp-analytics,566.2k
"'productivity', 'accounting and legal', 'ai', 'sales'","'desktop app', 'mobile app', 'web app'",Privately,High company activity detected,23 Nov 20,0,4,'agreemint',Pre,"'b2c', 'b2b', 'freemium', 'sales', 'subscription'",31,9,Undisclosed,https://www.agreemint.com?ref=startuptracker,'Through the Agreemint Contract AI users engage in a contract workflow that delights everyone - legal or non-legal.','Agreemint',February 10 2018,San francisco US,https://www.crunchbase.com/organization/agreemint,0
'software dev',"'mobile app', 'web app'",Publicly,High company activity detected,11 Nov 20,~4.6k,5-10,'Shake SDK',Pre,"'b2b', 'freemium'",16,9,Undisclosed,https://www.shakebugs.com/?ref=startuptracker,'Bug reporting tool for mobile apps.','Shake',September 30 2019,Newark US,https://www.crunchbase.com/organization/shake-2266,1m
"'data', 'design', 'education', 'productivity'","'service', 'web app'",Publicly,No recent company activity detected,20 Oct 20,~4k,5-10,'Deskle',Pre,"'b2c', 'b2b', 'subscription'",14,9,Undisclosed,https://deskle.com?ref=startuptracker,'Online whiteboard - a tool for remote collaboration and distance learning','Deskle',January 13 2016,Wilmington US,https://crunchbase.com/organization/deskle-2,1.2m
"'advertising', 'marketing'",'desktop app',Publicly,Low company activity detected,20 Oct 20,~4.4k,3,"'Shannon S', 'PayLoadz'",Pre,"'b2b', 'free to use', 'subscription'",5,9,Undisclosed,https://adoptics.com?ref=startuptracker,'Automated Ad A/B testing for Google Ads','AdOptics',September 1 2020,Philadelphia US,https://www.crunchbase.com/organization/adoptics-c174,1.1m
"'communication', 'medical'",'mobile app',Publicly,High company activity detected,20 Oct 20,~1.8k,5-10,'Mooditude App',Pre,"'b2c', 'freemium'",1k,9,Undisclosed,https://www.mooditude.app/?ref=startuptracker,"'Mooditude is a practical, modern-day solution for your mental health and well-being.'",'Mooditude',May 1 2019,Santa Monica US,https://producthunt.com/posts/mooditude,2.6m
